,title,artist,lyrics
355,Sparks,Hilary Duff,"I can't hear a single word
Just know you're talking 'cause your lips keep movin'
Everything I though I learned
Goes out the window, all I want is one thing

You can promise castles, treasures
Babies, I don't care
'Cause for now you're just enough for me
I want you near
Like a fairytale to feel your breath
Right on my neck
You remember what I love
So baby take me back

Turn the lights down low
And kiss me in the dark
'Cause when you're touching me
Baby, I see sparks

You make my heart go
You
You, you make my heart go
You
You, you make my heart go

Ticking, tocking like a bomb
Throws me back to when I had you closer
Skin to skin we get it on
Without the love I feel you going bolder

You can promise castles, treasures
Babies, I don't care
'Cause for now you're just enough for me
I want you near
Like a fairytale to feel your breath
Right on my neck
You remember what I love
So baby take me back

Turn the lights down low
And kiss me in the dark
'Cause when you're touching me
Baby, I see sparks

You make my heart go
You
You, you make my heart go
You
You, you make my heart go

Take it all off
From every inch of you
Traveling back in time
Tangled up tight just like
We used to
Now do that thing I like

Turn the lights down low
And kiss me in the dark
'Cause when you're touching me
Baby, I see sparks

You make my heart go
You
You, you make my heart go
You
You, you make my heart go"
356,Mr. Put It Down,Ricky Martin,"[Verse 1: Pitbull]
Now, first of all, come on, baby
Take it off, come on, baby
Break me off
Then she said she love the fact that Pitbull such a dog
It's simple, baby, I ain't picky
Only rule of mine is no hickeys
Remember, lust can get tricky
It's Mr. Worldwide and Ricky
Dale

[Pre-Chorus: Ricky Martin]
No, I'm not tryna get in your head
And I'm not tryna push your limits
Cause I just wanna make you feel special
A little love, little fun, little dancing

[Chorus: Ricky Martin]
Who has a lifetime, baby?
We got the night right now
When you see what I'm planning
You're gonna call me Mr. Put It Down

[Post-Chorus: Pitbull] (x2)
Baby, gimme that, gimme that uh
I'll give you that, give you that ah
Baby, gimme that, gimme that uh
I'll give you that, give you that ah

[Verse 2: Ricky Martin]
Baby, I can recognize from miles away
That you don't wanna be alone
But ain't nobody looking like you do tonight
So tell me how to turn you on

[Pre-Chorus] + [Chorus] + [Post-Chorus] (x2)

[Verse 3: Pitbull]
It's the P to the I-I to the T-T to the B-B to the U, double the L
I'm so hot, I'm hotter than hell
Baby, turn around for Mr. Put It Down
Went from the block to the yacht to the G4
Down in D.R. jet took a detour
Not from Maryland but when it comes to women
There can always be more
Get it? B-more
2Pac? No, but I get around
Baby, nice to meet you
I'm Mr. Put It Down

[Bridge: Ricky Martin]
Hola, oh my
Where did you come from
Oh, I know how to pick the right one
I got my spot, girl
So while the night's young
Just follow me

[Chorus] + [Post-Chorus] (x2)"
357,Legendary Lovers,Katy Perry,"Under a silver moon, tropical temperature
I feel my lotus bloom, come closer
I want your energy, I want your aura
You are my destiny, my mantra

I never knew I could see something so clearly
Looking through my third eye
Never knew karma could be so rewarding
And bring me to your light
Maybe this is the beginning of something
So magical tonight

Take me down to the river
Underneath the blood-orange sun
Say my name like a scripture
Keep my heart beating like a drum

Legendary lovers
We could be legendary
Legendary lovers
We should be legendary

Go down in history, go down together
Into infinity, forever
Your Cleopatra, your blushing Juliet
Anything for your love
A ride or die

I never knew I could see something so clearly
Looking through my third eye
Never knew karma could be so rewarding
And bring me to your light
Maybe this is the beginning of something
So magical tonight

Take me down to the river
Underneath the blood-orange sun
Say my name like a scripture
Keep my heart beating like a drum

Legendary lovers
We could be legendary
Legendary lovers
We should be legendary

Under the river

Oh, take me down to the river
Underneath the blood-orange sun
Say my name like a scripture
Keep my heart beating like a drum

Legendary lovers
We could be legendary
Legendary lovers
We should be legendary

Take me down to the river
Underneath the blood-orange sun
Say my name like a scripture
Keep my heart beating like a drum

Legendary lovers
We could be legendary
Legendary lovers
We should be legendary"
358,Spark The Fire,Gwen Stefani,"Coming down, oh I had a blast
But you know what they say, 
the high will never last
But I believe that they all got it wrong
So sprinkle some more love
Right here where we belong
(You guys ready?)
Here we go

Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire (say what?)
Who got the lighter?
Let's spark the fire (here we go)
Who got the lighter?
Let's spark the fire

O. M. G, O. M. G, I'm back again
Original feel good is what I defend
I'm a believer, no I don't pretend
Know what it's right when you look up and grin
The person next to you forgot energy
Let's lift them up even high as can be (what?)
Finally remembering what is me
That is what happens
when I get with P

Hey! Get off my cloud (say what?)
Hey! Get off my style (say what?)
Stay above the crowd (say what?)
Or make your way back down (say what?)

Hey! Get off my cloud (say what?)
Hey! Get off my style (say what?)
Stay above the crowd
Or make your way back down

Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire

Let's go hard, let's go hard, 
hard as can go
It is time for the girl species to grow
2015, we take off our shell (hey)
I am a Libra, let's balance the scales
Lol, the world should get ready
Cuz we will prevail
Somebody has to, so maybe it's me
Say this with me and recycle repeat

Hey! Get off my cloud (say what?)
Hey! Get off my style (say what?)
Stay above the crowd (say what?)
Or make your way back down (say what?)

Hey! Get off my cloud (say what?)
Hey! Get off my style (say what?)
Stay above the crowd (say what?)
Or make your way back down

Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire

Something's telling me
It takes a try to superglue L. U. V
Was losing focus lost the perfect Lego piece
Got new glasses so finally I can see
Spark the fire

Hey! Get off my cloud
Hey! Get off my style
Stay above the crowd
Or make your way back down

Hey! Get off my cloud
Hey! Get off my style
Stay above the crowd
Or make your way back down

Here we go
Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire
Who got the lighter?
Let's spark the fire

So much cooler when you do it (do it do it)
So much cooler when you do it (do it do it)
So much cooler when you do it
Everybody, let's go!"
359,Run Run Run,Kelly Clarkson,"I wonder how your body tastes
Inside of someone else's place
Pull away your eyes there's nothing left to heal
I'm alone but I know everything you feel

And you waited on the rain
Through tears my heart is caged
And we fall through fate
But we rise and rise again
And I run, run, run, run, run
And I run, run, run, run, run
I run, run, run, run, run
I just run, run, run

Tell me how you closed the door
Knowin' nobody could love you more
Tellin' all your friends that this love
Was just made for bleedin'
Hung up underwater but still we keep on
Tryin' to breath in

And you waited on the rain
Through tears my heart is caged
And we fall through fate
But we rise and rise again
And I run, run, run, run, run
And I run, run, run, run, run
I run, run, run, run, run
I just run, run, run

Our lust for fightin'
Tied up in silence

And you waited on the rain
Through tears my heart is caged
And we fall through fate
But we rise and rise again
And I run, run, run, run, run
And I run, run, run, run, run
I run, run, run, run, run
I run, run, run
And I run, run, run, run, run
And I run, run, run, run, run
I run, run, run, run, run
I just run, run, run

Our lust for fightin'
Tied up in silence"
360,Let Me Be Your Lover,Enrique Iglesias,
361,Dangerous,Jennifer Hudson,"I do it for the thrill even if it kills
Dangerous, you make me feel dangerous
I do it for the thrill even if it kills
Dangerous, you make me feel dangerous

Touch my body
Make me feel like I'm alive
I do it for the thrill even if it kills
Dangerous, you make me feel dangerous

Dangerous, like, like no hands on a motorbike
Riding at the speed of light
When I'm with you
Ride like never seen street fights
I got you, you got me right
Like there ain't no daddy do, do or die
Turn my name so I know you're mine
Daddy you know that I die for you, die for you
Daddy do, do or die,
Stay with me 'till end of time
Daddy you know that I die for you, ride for you

I do it for the thrill even if it kills
Dangerous, you make me feel dangerous
I do it for the thrill even if it kills
Dangerous, you make me feel dangerous

Touch my body
You make me feel like I'm alive
I do it for the thrill even if it kills
Dangerous, you make me feel dangerous

Dangerous, yeah, yeah, think I'm riding from cloud 9
Even if I we get caught now
Anything for you
Yeah, yeah, hold my body out for ransom
'Cause I wanna get hands on, hands on
Yeah I wanna get my hands on
Daddy do, do or die,
Turn my name so I know you're mine
Daddy you know that I die for you, die for you
Daddy do, do or die,
Stay with me 'till end of time
Daddy you know that I die for you, ride for you

I do it for the thrill (don't back down)
I dare you
Break the rules
Live now, alive

Oh, give me light
You make me feel alive, alive

I do it for the thrill even if it kills
Dangerous, you make me feel dangerous
I do it for the thrill even if it kills
Dangerous, you make me feel dangerous

Touch my body
You make me feel like I'm alive
I do it for the thrill even if it kills
Dangerous, you make me feel dangerous

I do it for the thrill"
362,L.A.LOVE (la la),Fergie,
363,The Hills,The Weeknd,"Your man on the road, he doing promo
You said keep our business on the low-low
I just tryna get you out the friendzone
Cause you look even better than the photos
I can't find your house, send me the info
Driving through the gated residential
Found out I was coming
Sent your friends home
Keep on tryna hide it but your friends know

I only call you when it's half past, five
The only time that I'll be by, your, side
I only love you when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only fuck you when it's half-past, five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, baby

I'ma let you know and keep it simple
Tryna keep it up, don't seem so simple
I just fucked two bitches 'fore I saw you
You gon' have to do it at my tempo
Always tryna send me off to rehab
these drugs got me feeling like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

I only call you when it's half past, five
The only time that I'll be by, your, side
I only love you when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only fuck you when it's half-past, five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, baby

Hills have eyes, these hills have eyes
Who are you to judge, who are you to judge?
Hide your lies, girl hide your lies
Only you to trust, only you

I only call you when it's half past, five
The only time that I'll be by, your, side
I only love you when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only fuck you when it's half-past, five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, baby"
364,Love Yourself,Justin Bieber,
365,Cake By The Ocean,DNCE,"Oh, no
See you walking 'round like it's a funeral
Not so serious, girl, why those feet cold?
We're just getting started, don't you tiptoe
Tiptoe, ah

Waste time with a masterpiece
Don't waste time with a masterpiece
You should be rolling with me
You should be rolling with me, ah
You're a real-life fantasy
You're a real-life fantasy
But you're moving so carefully
Let's start living dangerously

Talk to me, baby
I'm going blind from this sweet, sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean

Walk for me, baby
I'll be Diddy and you be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean

God damn
See you licking frosting from your own hands
Want another taste, I'm begging, yes ma'am
I'm tired of all this candy on the dry land
Dry land, oh

Waste time with a masterpiece
Don't waste time with a masterpiece
You should be rolling with me
You should be rolling with me, ah
You're a real-life fantasy
You're a real-life fantasy
But you're moving so carefully
Let's start living dangerously

Talk to me, baby
I'm going numb from this sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean

Walk for me, baby
I'll be Diddy and you be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean

I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean

You're fucking delicious
Talk to me, girl

Talk to me, baby
I'm going numb from this sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean

Walk for me, baby
I'll be Diddy and you be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean

Red velvet, vanilla, chocolate in my life
Funfetti, I'm ready, I need it every night
Red velvet, vanilla, chocolate in my life
I-I-I-I-I-I keep on hoping
We'll eat cake by the ocean"
366,Don't Let Me Down,The Chainsmokers,"Crashing, hit a wall
Right now I need a miracle
Hurry up now, I need a miracle
Stranded, reaching out
I call your name but you're not around
I say your name but you're not around

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling I hope
That you'll be here
when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, don't let me down, down, down

R-r-running out of time
I really thought you were on my side
But now there's nobody by my side

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling I hope
That you'd be here when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, don't let me down, down, down

Oh, I think I'm losing my mind now, hey hey
Oh, I think I'm losing my mind now

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling I hope
That you'd be here when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, don't let me down, down, down
Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, don't let me down, down, down"
367,In the Name of Love,Martin Garrix,
368,Into You,Ariana Grande,
369,This Is What You Came For,Calvin Harris,"Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh

We go fast with the game we play
Who knows why it's gotta be this way
We say nothing more than we need
I say ""your place"" when we leave

Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh

Baby, this is what you came for
Lightning strikes every time she moves
Yeah

Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh"
370,Million Reasons,Lady Gaga,"You're giving me a million reasons to let you go
You're giving me a million reasons to quit the show
You're givin' me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

If I had a highway, I would run for the hills
If you could find a dry way, I'd forever be still
But you're giving me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather
I've got a hundred million reasons to walk away
But baby, I just need one good one to stay

Head stuck in a cycle, I look off and I stare
It's like that I've stopped breathing, but completely aware
'Cause you're giving me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

And if you say something that you might even mean
It's hard to even fathom which parts I should believe
'Cause you're giving me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather
I've got a hundred million reasons to walk away
But baby, I just need one good one to stay

Hey, ehh, ehh, eyy
Baby I'm bleedin', bleedin'
Stay, ehh, ehhy
Can't you give me what I'm needin', needin'
Every heartbreak makes it hard to keep the faith
But baby, I just need one good one
Good one, good one, good one, good one, good one

When I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather
I've got a hundred million reasons to walk away
But baby, I just need one good one, good one
Tell me that you'll be the good one, good one
Baby, I just need one good one to stay"
371,Needed Me,Rihanna,"Mustard on the beat, ho!

I was good on my own, that's the way it was
that's the way it was
You was good on the low for a faded fuck
on some faded love
Shit, what the fuck you complaining for? Feeling jaded huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I give it to you

But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage
Fuck your white horse and a carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby who, you needed me

You been rollin' around, shit I'm rollin up
Light and roll it up
Break it down like a pound, shit was never us
Shit was never us
That's the real on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I give it to ya

But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage
Fuck your white horse and a carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby who, you needed me"
372,7 Years,Lukas Graham,"Once I was seven years old my momma told me
Go make yourself some friends
 Or you'll be lonely
Once I was seven years old

It was a big big world,
 But we thought we were bigger
Pushing each other to the limits,
 We were learning quicker
By eleven smoking herb
 And drinking burning liquor
Never rich so we were out
 To make that steady figure

Once I was eleven years old
 My daddy told me
Go get yourself a wife
 Or you'll be lonely
Once I was eleven years old

I always had that dream
 Like my daddy before me
So I started writing songs,
 I started writing stories
Something about that glory
 Just always seemed to bore me
Cause only those I really love
 Will ever really know me

Once I was 20 years old,
 My story got told
Before the morning sun,
 When life was lonely
Once I was 20 years old

(lukas graham!!!)

I only see my goals,
 I don't believe in failure
Cause I know the smallest voices,
 They can make it major
I got my boys with me
 At least those in favor
And if we don't meet before I leave,
 I hope I'll see you later

Once I was 20 years old,
 My story got told
I was writing about everything,
 I saw before me
Once I was 20 years old
Soon we'll be 30 years old,
 Our songs have been sold
We've traveled around the world
 And we're still roaming
Soon we'll be 30 years old

I'm still learning about life
My woman brought children for me
So I can sing them all my songs
And I can tell them stories
Most of my boys are with me
Some are still out seeking glory
And some I had to leave behind
My brother I'm still sorry

Soon I'll be 60 years old,
 My daddy got 61
Remember life
 And then your life becomes a better one
I made a man so happy when
 I wrote a letter once
I hope my children come and visit,
 Once or twice a month

Soon I'll be 60 years old,
 Will I think the world is cold
Or will I have a lot of children
 Who can warm me
Soon I'll be 60 years old
Soon I'll be 60 years old,
 Will I think the world is cold
Or will I have a lot of children
 Who can warm me
Soon I'll be 60 years old

Once I was seven years old,
 My momma told me
Go make yourself some friends
 Or you'll be lonely
Once I was seven years old

Once I was seven years old"
373,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,
374,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,"I ain't worried 'bout nothin'
I ain't wearing na-nada
I'm sittin' pretty, impatient, but I know you gotta
Put in them hours, I'mma make it hotter
I'm sending pic after picture, I'mma get you fired

I know you're always on the night shift
But I can't stand these nights alone
And I don't need no explanation
Cause baby, you're the boss at home

You don't gotta go to work, work, work, work
Work, work, work, work
But you gotta put in work, work, work, work
Work, work, work, work
You don't gotta go to work, work, work, work
Work, work, work, work
Let my body do the work, work, work, work
Work, work, work, work, work
We can work from home, oh, oh, oh-oh
We can work from home, oh, oh, oh-oh

Let's put it into motion
I'mma give you a promotion
I'll make it feel like a vacay, turn the bed into an ocean
We don't need nobody, I just need your body
Nothin' but sheets in between us, ain't no getting off early

I know you're always on the night shift
But I can't stand these nights alone
And I don't need no explanation
Cause baby, you're the boss at home

You don't gotta go to work, work, work, work
Work, work, work, work
But you gotta put in work, work, work, work
Work, work, work, work
You don't gotta go to work, work, work, work
Work, work, work, work
Let my body do the work, work, work, work
Work, work, work, work, work
We can work from home, oh, oh, oh-oh
We can work from home, oh, oh, oh-oh

Girl gotta work for me
Can you make it clap, no hands for me?
Take it to the ground, pick it up for me
Look back at it all over me
Put in work like my timesheet
She ride it like a '63
I'mma buy her no Celine
Let her ride in a foreign with me
Oh, she the bae, I'm her boo
And she down to break the rules
La-di-da she gon' go
I won't judge, she finesse
I pipe her, she take that
Putting overtime on your body

You don't gotta go to work, work, work, work
Work, work, work, work
But you gotta put in work, work, work, work
Work, work, work, work
You don't gotta go to work, work, work, work
Work, work, work, work
Let my body do the work, work, work, work
Work, work, work, work, work
We can work from home, oh, oh, oh-oh
We can work from home, oh, oh, oh-oh"
375,Scars To Your Beautiful,Alessia Cara,"She just wants to be beautiful
She goes unnoticed, she knows no limits
She craves attention, she praises an image
She prays to be sculpted by the sculptor
Oh, she don't see the light that's shining
Deep within the eyes, can't find it
Maybe we have made her blind
So she tries to cover up her pain and cuddle woes away
Cause cover girls don't cry after their face is made

But there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change its heart
No scars to your beautiful
we're stars and we're beautiful
And you don't have to change a thing
The world could change its heart
No scars to your beautiful
we're stars and we're beautiful

She has dreams to be an envy, so she's starving
You know, cover girls eat nothing
She says ""beauty is pain and beauty is everything
What's a little bit of hunger? ""
I could go a little while longer, she fades away
She don't see her perfect
she don't understand she's worth it
Or that beauty goes deep within the surface
So to all the girls that's hurting
Let me be your mirror, help you see a little bit clearer
The light that shine's within

There's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change its heart
No scars to your beautiful
we're stars and we're beautiful

No better you than the you that you are
No better life than the life we're living
No better time for your shine, you're a star
Oh, you're beautiful, oh, you're beautiful

And there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change its heart
No scars to your beautiful
We're stars and we're beautiful
And you don't have to change a thing
The world could change its heart
No scars to your beautiful
We're stars and we're beautiful"
376,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,"I found myself dreaming
In silver and gold
Like a scene from a movie
That every broken heart knows
we were walking on moonlight
And you pulled me close
Split second and you disappeared and then
I was all alone

I woke up in tears
With you by my side
A breath of relief
And I realized
No, we're not promised tomorrow

So I'm gonna love you
Like I'm gonna lose you
I'm gonna hold you
Like I'm saying goodbye
Wherever we're standing
I won't take you for granted 'cause we'll never know when
When we'll run out of time so I'm gonna love you
Like I'm gonna lose you
I'm gonna love you like I'm gonna lose you

[John Legend:]
In the blink of an eye
Just a whisper of smoke
You could lose everything
The truth is you never know

So I'll kiss you longer baby
Any chance that I get
I'll make the most of the minutes and love with no regrets

So let's take our time
To say what we want
Use what we got
Before it's all gone
No, we're not promised tomorrow

So I'm gonna love you
Like I'm gonna lose you
I'm gonna hold you
Like I'm saying goodbye
Wherever we're standing
I won't take you for granted 'cause we'll never know when
When we'll run out of time so I'm gonna love you
Like I'm gonna lose you
I'm gonna love you like I'm gonna lose you

I'm gonna love you
Like I'm gonna lose you
I'm gonna hold you
Like I'm saying goodbye
Wherever we're standing
I won't take you for granted 'cause we'll never know when
When we'll run out of time so I'm gonna love you
Like I'm gonna lose you
I'm gonna love you like I'm gonna lose you"
377,Work,Rihanna,
378,Stitches,Shawn Mendes,"I thought that I've been hurt before
But no one's ever left me quite this sore
Your words cut deeper than a knife
Now I need someone to breathe me back to life

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
Shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself
Aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Just like a moth drawn to a flame
Oh, you lured me in, I couldn't sense the pain
Your bitter heart cold to the touch
Now I'm gonna reap what I sow
I'm left seeing red on my own

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
Shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself
Aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head, get you out of my head

You watch me bleed until I can't breathe
Shaking, falling onto my knees
(Falling on my knees)
And now that I'm without your kisses
I'll be needing stitches
(And I'll be needing stitches)
Tripping over myself
Aching begging you to come help
(Begging, ""baby, please"")
And now that I'm without your kisses
I'll be needing stitches

(And now that)
I'm without your kisses
I'll be needing stitches
(And now that)
I'm without your kisses
I'll be needing stitches"
379,"Me, Myself & I",G-Eazy,
380,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"I took a pill in Ibiza
To show Avicii I was cool
And when I finally got sober, felt 10 years older
But fuck it, it was something to do
I'm living out in LA
I drive a sports car just to prove
I'm a real big baller cause I made a million dollars
And I spend it on girls and shoes

But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I, I, I, I know are sad songs
I, I, I, I know are sad songs
I, I, I, I know are sad songs

I'm just a singer who already blew his shot
I get along with old timers
Cause my name's a reminder
Of a pop song people forgot
And I can't keep a girl, no
Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up

But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I, I, I, I know are sad songs
I, I, I, I know are sad songs
I, I, I, I know are sad songs
I, I, I, I know are sad songs
I, I, I, I know are sad songs"
381,Dangerous Woman,Ariana Grande,"Don't need permission
Made my decision to test my limits
Cause it's my business, God as my witness
Start what I finished
Don't need no hold up
Taking control of this kind of moment
I'm locked and loaded
Completely focused, my mind is open

All that you got, skin to skin, oh my God
Don't ya stop, boy

Somethin' 'bout you
Makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you

Nothing to prove and I'm bulletproof and
Know what I'm doing
The way we're movin' like introducing
Us to a new thing
I wanna savor, save it for later
The taste of flavor, cause I'm a taker
Cause I'm a giver, it's only nature
I live for danger

All that you got, skin to skin, oh my God
Don't ya stop, boy

Somethin' 'bout you
Makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you

All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout
All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout

Somethin' 'bout you
Makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you

All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout
All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
Somethin' 'bout, somethin' 'bout

Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you)
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
Yeah, there's somethin' 'bout you boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you)"
